cluster_id,description,name,level,parent_cluster_id,pct_total_occurrences,is_cluster,priority
ai_values:l1:9c312301-a330-4d6e-89f2-1542d81d2a44,"This group of values focused on values related to language use in social contexts, emphasizing inclusivity, respect for different linguistic backgrounds, accommodation of various communication needs, and adaptability in linguistic approaches.",Linguistic respect and inclusivity,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.019,True,C1
ai_values:l1:c610f18c-b439-4df1-9c6c-c7c43e8e16ce,These values focused on the importance of honoring the rights of indigenous peoples and recognizing their inherent sovereignty.,Indigenous rights and sovereignty,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.003,True,C1
ai_values:l1:39cf7b7e-85cd-4a8c-a310-9e75682be5bb,"This group of values collectively highlighted attitudes regarding social boundaries and permissiveness, particularly related to content and acceptable social behavior.",Social constraints and permissiveness,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.008,True,C1
ai_values:l1:f5a4b3fa-d680-4d7c-a3cc-317b43b9b465,"This group of values encompassed values related to understanding, respecting, and accurately representing different cultures. It included cultural awareness, sensitivity, competence, and authenticity, as well as cross-cultural understanding and appreciation. These values emphasized the importance of cultural knowledge, literacy, and responsiveness while maintaining respectful representation and historical sensitivity.",Cultural understanding and respect,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.951,True,C4
ai_values:l1:f60c65b1-aa4b-48ac-ab59-8259e5864da1,"These values focused on the ability to understand, adapt to, and align with different social or cultural contexts in appropriate ways.",Cultural and social adaptability,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.034,True,C1
ai_values:l1:f70ae3d2-3443-46e0-85f5-23d1d7b92926,"These values emphasized reverence for established customs, heritage, and practices, including respect for longstanding cultural wisdom, nationalistic ideals, and traditional principles that anchor social identity.",Traditional and cultural reverence,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.069,True,C2
ai_values:l1:3dbd88b4-79ea-4557-8585-d1a8e405cfae,"This group of values encompassed various aspects of diplomatic and tactful communication. It included professional diplomacy, tactful engagement, respectful redirection, face-saving techniques, considerate communication, constructive humor, and diplomatic prudence, restraint, balance, and awareness in social interactions.",Diplomatic communication,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.207,True,C3
ai_values:l1:3af0034d-00d6-46ea-a114-03b4b893e197,"This group of values revolved around diversity, pluralism, and respectful recognition of varied cultural identities and perspectives. It valued authentic representation of different backgrounds, cultural exchange, and inclusion of diverse viewpoints and experiences within a global context.",Cultural diversity and inclusion,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.076,True,C2
ai_values:l1:5b702888-4048-4aed-a2a5-632a0ce534f3,"This group of values were centered around the preservation, respect, and appreciation of cultural heritage, traditions, and historical legacies. They encompassed national and cultural identity, historical awareness, and traditional practices including culinary authenticity.",Cultural heritage and tradition,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.242,True,C3
ai_values:l1:68e12a64-359e-4f87-a2b4-580b23817d17,"This group of values encompassed formal practices of respect and honor, including ceremonial dignity, professional deference, and formal communication protocols.",Formality and deference,1,ai_values:l2:28960f73-fe2c-48e1-9799-d2912a4f9c2e,0.031,True,C1
ai_values:l1:ee01dda9-55c5-44ed-8aea-b7101f5aa61f,"Values focusing on educational approaches, pedagogical methods, learning clarity, and interactive knowledge development.",Effective teaching and learning,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,1.074,True,C4
ai_values:l1:45b47647-f27b-49f1-b4e0-1a1e279c6c24,"Values emphasizing methodological soundness, scientific rigor, rationality, objectivity, reproducibility, and the pursuit of truth through valid scientific inquiry.",Sound scientific methodology,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,0.295,True,C3
ai_values:l1:da6483ae-f6c5-486b-8419-0a544988833c,"This group of values encompassed values related to structured, orderly approaches to knowledge and problem-solving. It emphasized systematic and methodical processes, careful analysis, clear documentation, and organized progression in learning and development. The values prioritized thoroughness, consistency, and rigor in cognitive and analytical endeavors.",Structuredness and systematicity,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,1.537,True,C4
ai_values:l1:5557d9b9-cf00-43b2-820d-0d2ef3c16bb1,"This group of values valued literary and narrative excellence demonstrated through sophisticated storytelling techniques, including character complexity, psychological realism, dramatic craft, and cohesive narrative structure with appropriate detail and depth.",Narrative and literary craftsmanship,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,0.289,True,C3
ai_values:l1:8ea65ad3-4784-4d10-8563-c7283bbe45d9,"This group of values all centered around methodical approaches to work and thinking, emphasizing thoroughness, discipline, and rigor in analytical processes, evaluation, reasoning, and execution.",Methodical rigor,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,0.207,True,C3
ai_values:l1:4435f825-c35a-42de-b123-d1f442174060,"Valued thorough, detailed, and comprehensive approaches to analyzing, explaining, and considering information with intellectual and professional rigor.",Analytical thoroughness,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,0.215,True,C3
ai_values:l1:52e96c59-5f60-4c60-8198-e711a0e1552d,"This group of values represented values related to high standards in academic and educational contexts, emphasizing rigor, precision, thoroughness, and achievement in intellectual and scholarly pursuits.",Academic excellence,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,1.96,True,C4
ai_values:l1:070203bd-f99f-40b8-846c-4958f08c88c6,"Valuing expertise and specialized knowledge across different domains including academic, medical, scientific, religious, clinical, educational, and theological fields. This group of values also encompassed the development of expertise and the value of respecting expert knowledge.",Domain-specific expertise,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,0.313,True,C3
ai_values:l1:71e0d83e-534b-4de1-bda3-abe0e04801af,"This group of values focused on values related to thorough validation, verification, and error-checking processes. They emphasized methodical approaches to ensuring accuracy and credibility through transparent, rigorous, and systematic verification methods across scientific and legal domains.",Methodical verification,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,0.028,True,C1
ai_values:l1:f8768d02-5c46-4b50-8f2d-133bc769a5c1,"This group of values all concerned the value of approaching problems in a structured, methodical manner with logical organization in both thought processes and communication.",Structured and methodical reasoning,1,ai_values:l2:2b432715-84a8-421a-9aca-b9d1f60ee837,0.093,True,C2
ai_values:l1:7afef690-0ac6-42a0-9aa4-8737b2711fe4,"This group of values focused on improving efficiency, optimizing processes, streamlining operations, and enhancing productivity through systematic approaches, standardization, simplification, and automation.",Process efficiency and optimization,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,1.872,True,C4
ai_values:l1:f0c908ac-5f30-4ae6-8d41-091634bff882,"Values around the importance of maintaining enduring performance, organizational viability, and responsible growth over time, emphasizing long-term perspectives on development and operational continuity.",Long-term sustainability,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.46,True,C3
ai_values:l1:9c962660-e5f7-4d59-aa99-6c20f99923b1,"This group of values centered on time utilization, emphasizing punctuality, using time efficiently, respecting deadlines, and exhibiting appropriate urgency in various contexts.",Time management and punctuality,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.039,True,C1
ai_values:l1:1bf8b825-784c-4b78-b291-11bd507d7dfa,"This group of values encompassed values centered on organizational efficiency, structure, and collaboration. It included concepts related to business effectiveness, clear organizational hierarchy, cross-team coordination, institutional alignment, and structured approaches to teamwork and organizational development. These values emphasized orderliness, rigor, and systematic approaches to achieving goals through well-defined processes and collaborative frameworks.",Organizational effectiveness,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,1.118,True,C4
ai_values:l1:f4af20f0-f4cd-441c-86bc-9c9226c52083,"This group of values focused on different forms of efficiency and effectiveness in professional and operational contexts, emphasizing productivity, control, and excellence in business and strategic operations.",Operational efficiency and control,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.114,True,C2
ai_values:l1:9df327e0-01f0-4520-ad83-1115afcdfc09,"This group of values centered around the concept of cost-effectiveness, economic rationality, and profit optimization. Values in this group emphasized the efficient use of resources to achieve economic goals and maximize returns while minimizing expenses.",Economic efficiency,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.116,True,C2
ai_values:l1:85e37afd-63e6-475c-b1d7-b9b14d118451,"This group of values focused on commitment to and completion of tasks, with an emphasis on dedication and focus when executing responsibilities.",Task dedication and focus,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.033,True,C1
ai_values:l1:9f4af3b8-ac16-44f4-8a83-42242e5ae8fe,"Individuals valued generating tangible benefits across various domains, including business optimization, client satisfaction, and practical impact. They prioritized creating, delivering, and maximizing value for stakeholders, customers, and users while emphasizing strategic importance, profit generation, wealth creation, and cost-effectiveness.",Value creation and optimization,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.127,True,C2
ai_values:l1:0ec3309e-2060-4cdb-b4de-28920cc601ad,"This group emphasized practical support, constructive solutions, and actionable approaches that empowered individuals through helpfulness, education, and functionality.",Practical solutions and support,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.076,True,C2
ai_values:l1:db6833a3-bb40-4827-8dc2-8bb9a91471e0,"This group of values represented various forms of efficient resource utilization, optimization of costs, energy, and computation, along with consciousness about waste reduction, reusability, and stewardship of resources to maximize practical value.",Resource and process efficiency,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.244,True,C3
ai_values:l1:9317f16c-0370-4767-a62f-c3d71b6af8a1,"The respondent valued administrative efficiency, which emphasizes streamlined processes, optimal resource utilization, and effective organizational management.",Administrative efficiency,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.004,True,C1
ai_values:l1:86205bfb-98db-4ccb-b142-90c4ce9c8b25,"This group of values encompassed different manifestations of balance across various domains, including strategic decision-making, nutritional considerations, authority structures, achievement priorities, optimization efforts, and developmental processes. It valued measured approaches, realistic expectations, and prudent choices that integrated multiple perspectives or stakeholder needs.",Balanced and measured approaches,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.08,True,C2
ai_values:l1:41f4cb04-c1ab-48d6-bccc-db38f60eaf43,"Values around managing financial and economic resources responsibly and carefully to maximize value, optimize returns, and maintain accountability for monetary decisions.",Financial prudence,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.373,True,C3
ai_values:l1:3a19760a-1fc7-43e5-ae01-691bba063c71,"This grouping primarily emphasized practices related to sustainable approaches in various contexts, including business, development, growth, progress, and consumption behaviors. The values centered on creating sustainable and responsible impacts that balanced resource use and long-term viability, with one outlier related to healthcare access.",Sustainable and responsible development,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.133,True,C2
ai_values:l1:3c7f472f-b110-47e9-9635-a3c7a1bdfbbe,"Values around professional capabilities, efficiency, and clarity in workplace roles, alongside overall wellbeing in work environments.",Workplace effectiveness,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.029,True,C1
ai_values:l1:aa411964-1e30-40b6-a5ca-7f2032412887,Values focusing on increasing financial outcomes and enhancing the performance of sales activities.,Revenue and sales optimization,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.005,True,C1
ai_values:l1:feb40b81-72b5-4b5e-8c69-ab27bd573d9d,"This group of values centered around financial concerns, including economic and financial sustainability, stability, success, literacy, accessibility, independence, and general financial wellbeing.",Financial wellbeing,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.041,True,C1
ai_values:l1:28a82a84-05c2-4550-87d7-a51d19fe1d82,"This group focused on approaches that prioritized financial sustainability, market relevance, and business practicality when evaluating opportunities or making decisions. These values emphasized the importance of commercial success, profitability, and economic viability as practical considerations.",Commercial viability,1,ai_values:l2:5b98962b-ae74-4850-88c1-de06ea8c2914,0.068,True,C2
ai_values:l1:92e567bf-6bb2-47a8-b39a-33df18863fae,"This group of values encompassed values related to sensory experiences and pleasurable stimuli, including sensory pleasure, sensory detail, sensuality, and hedonistic enjoyment. It focused on the appreciation of physical sensations and experiential gratification.",Sensory experience and pleasure,1,ai_values:l2:60ec5d43-d9a2-4208-bfe9-4da8db43c0a1,0.026,True,C1
ai_values:l1:7a900bdf-018e-42ce-a937-facf95947a0e,"This group of values focused on luxury and the luxury lifestyle, emphasizing experiences and possessions of high quality, exclusivity, and expense.",Luxury,1,ai_values:l2:60ec5d43-d9a2-4208-bfe9-4da8db43c0a1,0.005,True,C1
ai_values:l1:5f923a43-9e23-4862-8e09-7ef073416374,"This group of values all focused on elements of lighthearted enjoyment, expressing playfulness, humor, wit, and affection in a joyful manner.",Playfulness and humor,1,ai_values:l2:60ec5d43-d9a2-4208-bfe9-4da8db43c0a1,0.079,True,C2
ai_values:l1:f147edde-1fce-4d5f-90a0-4285cdb41ea9,"The values focused on sexual openness, freedom, pleasure, gratification, and dominance. These values embraced sexual permissiveness and liberation while also acknowledging the importance of mutual satisfaction.",Sexual freedom and pleasure,1,ai_values:l2:60ec5d43-d9a2-4208-bfe9-4da8db43c0a1,0.048,True,C1
ai_values:l1:6e026b8f-59c7-4ba3-b357-9f4f5f5beca3,This group of values focused on the personal value placed on entertainment and its perceived worth or contribution to one's life.,Entertainment,1,ai_values:l2:60ec5d43-d9a2-4208-bfe9-4da8db43c0a1,0.018,True,C1
ai_values:l1:d21b494e-64dc-46ff-bc50-25f0351c4692,"This group of values focused on adherence to established standards of professional conduct, diligence, and excellence across various fields including business, engineering, education, medicine, and law. It emphasized methodical thoroughness, disciplined approaches, appropriate formality, and commitment to industry best practices and quality standards.",Professional standards and conduct,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,6.286,True,C4
ai_values:l1:136b623f-5a91-4933-8b13-85adb3116ad6,"These values focused on different aspects of providing high-quality service across various contexts, including creative, educational, professional, and client-oriented service. It emphasized excellence and quality in service delivery, proactive approaches to serving others, and specialized care in different professional settings.",Service excellence,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.881,True,C4
ai_values:l1:c96a6be6-1045-452b-894d-e2341c492140,"This group of values emphasized the importance of creating products and systems that prioritized human needs, comfort, and convenience. They focused on user experience, accessibility, ease of use, and engagement, highlighting design approaches that centered on user satisfaction and optimized interactions between humans and technology.",User experience and accessibility,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.985,True,C4
ai_values:l1:b8c29dd4-d2bf-434f-b0a0-667a1c045ae8,"The statements reflected the importance of maintaining cohesive brand identity, ensuring visual and messaging consistency, preserving brand integrity, and managing organizational reputation.",Brand integrity,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.044,True,C1
ai_values:l1:ac0bb095-49e9-4959-985b-c59c6e4668a3,"Values around robustness, reliability, and best practices in technical implementation, with an emphasis on functional integrity, backwards compatibility, and local connection.",Technical best practices,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.05,True,C2
ai_values:l1:0c962ebd-5f81-4925-a44f-1ac05bb00d4e,"This group of values focused on ensuring that systems functioned consistently and dependably over time through compatibility, stability, maintenance, reliability, robustness, scalability, and optimization techniques.",System reliability,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.546,True,C4
ai_values:l1:43654e4e-40b6-4e10-ae4a-6342e1326737,"Previously focused on the quality of how things were executed, emphasizing practical approaches, thoughtful planning, and technical excellence in implementation.",Implementation quality and practicality,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.039,True,C1
ai_values:l1:d424a54f-bb3f-4712-a8c7-952a4cdde9b5,"This group of values encompassed various aspects of code quality, including maintainability, modularity, clarity, organization, robustness, cleanliness, efficiency, simplicity, optimization, consistency, and reusability. These values focused on the attributes that make code well-structured, understandable, and effective.",Code quality and structure,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.608,True,C4
ai_values:l1:d0df8d3a-5a8a-4aa7-aa57-d308c4e64d59,"This group centered on various aspects of design - its consistency, quality, integrity, clarity, modularity, elegance and excellence. They emphasized thoughtful, balanced architectural approaches and creative excellence in design implementation.",Design excellence,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.108,True,C2
ai_values:l1:cd5931e7-d5fc-4a65-bcef-c0317790c6fb,"Individuals valued comprehensive, clear, and accurate documentation that adhered to professional standards and demonstrated thoroughness, structure, and attention to detail.",Documentation quality and thoroughness,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.148,True,C3
ai_values:l1:aa24e26b-5dea-4f37-8c39-b52940af4b67,"This group of values emphasized the importance of technical proficiency, mastery of skills, expertise in engineering, and technological advancement as practical values. They focused on developing competence in specialized technical domains and pursuing excellence in applied disciplines.",Technical expertise,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,2.837,True,C4
ai_values:l1:25ca6b55-b51b-453f-84d4-0b68a71197ba,"This group of values emphasized the importance of stable, enduring design elements in technical and architectural contexts, including durability, organization, preservation, and structural integrity.",Structural durability,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.033,True,C1
ai_values:l1:64dbd02a-6eb3-4f06-a7a1-a4afa4d1515d,"These values were about commitment to quality, excellence, and attention to detail across multiple domains including food, healthcare, software, and content creation. They centered on high standards, thoroughness, and quality assurance processes that preserved and optimized outcomes.",Quality and excellence,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,4.349,True,C4
ai_values:l1:07c968a9-264e-4f6b-8f07-254904c7f1ed,"This group of values emphasized the importance of demonstrated expertise, professional knowledge, and competent execution across various domains including business, medical, legal, technical, and educational fields. They centered on specialized knowledge, practical experience, professional diligence, and the ability to apply skills with precision and authority in one's area of expertise.",Professional expertise,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.848,True,C4
ai_values:l1:52a9435b-9f23-4dfc-b70b-0eae28e38b58,"These values focused on ethical considerations and responsible practices specifically in marketing contexts, emphasizing the importance of integrity and ethical standards in promotional activities.",Ethical marketing practices,1,ai_values:l2:736f4fd4-ecc6-4f44-b507-1ea830570be3,0.008,True,C1
ai_values:l1:6b623db9-7da2-4c7c-a0a4-32437218a248,"These values related to defending oneself, others, one's health, life, and reputation from harm or threats through protective measures and instinctive responses.",Protection of self and others from harm,1,ai_values:l2:96e3c9e8-c7fb-43da-ae8d-742557e7b0fd,0.037,True,C1
ai_values:l1:b388895d-9ef8-4de8-b901-597dd52448a0,"This group of values emphasized the importance of maintaining and safeguarding various forms of content, information, and physical items including data, memories, equipment, and general content.",Preservation of resources and information,1,ai_values:l2:96e3c9e8-c7fb-43da-ae8d-742557e7b0fd,0.029,True,C1
ai_values:l1:377703d6-137c-49e5-a5a0-14054a31fa34,"Values centered on maintaining, preserving, and respecting the natural environment through responsible stewardship, sustainability practices, and conservation efforts.",Environmental stewardship,1,ai_values:l2:96e3c9e8-c7fb-43da-ae8d-742557e7b0fd,0.301,True,C3
ai_values:l1:f1a7a382-c6cb-418d-a889-c2b8cbd6945b,These values are about being mindful of ethical impacts and moral considerations.,Ethical mindfulness,1,ai_values:l2:98c2757c-7b44-4b20-9d95-08c20be2db5e,0.001,True,C1
ai_values:l1:cd33e0ba-c8d6-4a41-bd94-37e0ed723a51,"These values were about various aspects of personal moral development and ethical character, including the cultivation of courage, integrity, wholesomeness, and innocence, as well as processes of moral growth, redemption, and the maintenance of dignity.",Moral development,1,ai_values:l2:98c2757c-7b44-4b20-9d95-08c20be2db5e,0.055,True,C2
ai_values:l1:efeeaebd-e370-406f-bcb5-d71314ebe5d4,"This group of values encompassed expressions of authenticity across different domains including artistic, personal, and professional contexts. It emphasized being true to oneself, genuine self-expression, sincerity, and maintaining integrity in creative work, leadership, and individual identity.",Authentic expression,1,ai_values:l2:98c2757c-7b44-4b20-9d95-08c20be2db5e,1.806,True,C4
ai_values:l1:cea5fa7b-98ef-4e53-a095-e7ff30784c04,"This group captured values related to maintaining one's genuine self, preserving personal identity, and upholding individual dignity.",Authentic selfhood,1,ai_values:l2:98c2757c-7b44-4b20-9d95-08c20be2db5e,0.033,True,C1
ai_values:l1:e927aec9-a948-49be-8d9b-bfd526c24737,"This group of values embodied various dimensions of personal character, including integrity, authenticity, humility, inner beauty, and conscientiousness, reflecting values related to moral steadfastness, genuine self-expression, and ethical consistency.",Personal character virtues,1,ai_values:l2:98c2757c-7b44-4b20-9d95-08c20be2db5e,0.415,True,C3
ai_values:l1:6509cc78-3067-4468-bb10-6a6d292db3ce,"Values focusing on the pursuit, development, and preservation of knowledge across educational, intellectual, and scientific domains, emphasizing continuous learning, intellectual discourse, knowledge building, and the advancement of science and medicine, while promoting the sharing of wisdom and originality in knowledge creation.",Knowledge advancement and intellectual growth,1,ai_values:l2:9fe9445e-a376-4019-915c-2fbfeca9cd0a,0.16,True,C3
